"","year","rank","country","state","gdp","gdp_percent"
"1",1960,86,"Bahamas","America",169803921,0.000146420393054654
"2",1961,84,"Bahamas","America",190098039,0.000157486037584136
"3",1962,84,"Bahamas","America",212254901,0.000160747646336161
"4",1963,83,"Bahamas","America",237745098,0.000167181781730401
"5",1964,83,"Bahamas","America",266666666,0.000171175467916877
"6",1965,87,"Bahamas","America",300392156,0.000176098074358096
"7",1966,87,"Bahamas","America",3.4e+08,0.000183678299853663
"8",1967,86,"Bahamas","America",390196078,0.000197453744998522
"9",1968,88,"Bahamas","America",444901960,0.000207936510280845
"10",1969,85,"Bahamas","America",528137254,0.000223752097644091
"11",1970,87,"Bahamas","America",538423153,0.000191843949844411
"12",1971,88,"Bahamas","America",573400000,0.000184832505814575
"13",1972,87,"Bahamas","America",590900000,0.000165379698644242
"14",1973,91,"Bahamas","America",670900000,0.000153632132741723
"15",1974,95,"Bahamas","America",632400000,0.000125609773761652
"16",1975,106,"Bahamas","America",596200000,0.00010604409762448
"17",1976,105,"Bahamas","America",642100000,0.000105044793261543
"18",1977,107,"Bahamas","America",7.13e+08,0.000103193255528558
"19",1978,106,"Bahamas","America",832400000,0.000102157281071687
"20",1979,100,"Bahamas","America",1139800100,0.000120459299254067
"21",1980,104,"Bahamas","America",1335300000,0.00012494536973622
"22",1981,103,"Bahamas","America",1426500000,0.000130102568229338
"23",1982,101,"Bahamas","America",1578300000,0.000145199667134263
"24",1983,100,"Bahamas","America",1732800000,0.000155860761677429
"25",1984,98,"Bahamas","America",2041100000,0.000176798667006465
"26",1985,96,"Bahamas","America",2320699900,0.000191077912555127
"27",1986,96,"Bahamas","America",2472500000,0.000172037413744833
"28",1987,97,"Bahamas","America",2713999900,0.000165009721185352
"29",1988,100,"Bahamas","America",2817900000,0.000148623648224577
"30",1989,99,"Bahamas","America",3.062e+09,0.000154820820171431
"31",1990,114,"Bahamas","America",3.166e+09,0.000140400174854054
"32",1991,117,"Bahamas","America",3111160000,0.000131896278432543
"33",1992,116,"Bahamas","America",3.109e+09,0.000124209629164207
"34",1993,118,"Bahamas","America",3.092e+09,0.000121264039837325
"35",1994,120,"Bahamas","America",3.259e+09,0.000119002551279868
"36",1995,126,"Bahamas","America",3.429e+09,0.00011233918713885
"37",1996,124,"Bahamas","America",3.609e+09,0.000115677711529764
"38",1997,104,"Bahamas","America",6332360000,0.00020374101822545
"39",1998,99,"Bahamas","America",6833220000,0.000220167058574328
"40",1999,98,"Bahamas","America",7683870000,0.000238628678342619
"41",2000,102,"Bahamas","America",8076470000,0.000242743505330703
"42",2001,99,"Bahamas","America",8317830000,0.000251346494412908
"43",2002,99,"Bahamas","America",8881160000,0.000258436183129885
"44",2003,102,"Bahamas","America",8870090000,0.000229954061652581
"45",2004,106,"Bahamas","America",9055290000,0.000208305026442144
"46",2005,110,"Bahamas","America",9836200000,0.000208867355674747
"47",2006,115,"Bahamas","America",10167250000,0.000199112014449873
"48",2007,119,"Bahamas","America",10618340000,0.000184461390929451
"49",2008,126,"Bahamas","America",1.0526e+10,0.000166620398264913
"50",2009,126,"Bahamas","America",9981960000,0.000166579590193258
"51",2010,131,"Bahamas","America",10095760000,0.000153930579624917
"52",2011,137,"Bahamas","America",10070450000,0.000138225974613271
"53",2012,135,"Bahamas","America",10720500000,0.000143830150337444
"54",2013,139,"Bahamas","America",10568400000,0.000137836855338025
"55",2014,140,"Bahamas","America",11111600000,0.000141028963242246
"56",2015,130,"Bahamas","America",11710800000,0.000158058925239969
"57",2016,127,"Bahamas","America",11928500000,0.00015843105216426
"58",2017,131,"Bahamas","America",12490700000,0.000155859010034398
"59",2018,135,"Bahamas","America",13022100000,0.000152875897069711
"60",2019,132,"Bahamas","America",13578800000,0.000157421517301734
"61",2020,130,"Bahamas","America",1.125e+10,0.000145084353173386
