Year,Stopover Visitors,Cruise Visitors
2000,1543959,2512626
2001,1537780,2551673
2002,1513151,2802112
2003,1510169,2970174
2004,1561312,3360012
2005,1608153,3078709
2006,1600881,3076397
2007,1527727,2970659
2008,1463006,2856705
2009,1327007,3255780
2010,1370174,3803122
2011,1346372,4161269
2012,1421576,4434161
2013,1363406,4709236
2014,1404102,4804701
2015,1496226,4513458
2016,1498730,4690374
2017,1451856,4626259
2018,1632610,4877596
2019,1806908,5433359
2020,440521,1327142
2021,892442,1115181
2022,1452520,5390016
2023,1801999,7773253
